"C1_r_bar","C1_delta_0","C1_delta_P","C1_delta_E","C1_delta_EP"
0.137404616681357,0.141710116949865,-4.82060780182536e-11,-0.00430550026844448,4.81419903941571e-11
0.135240186725374,0.13950076991927,3.70397351678875e-10,-0.00426058319390996,-3.70383251846462e-10
0.144000242859956,0.148431548368356,1.43601963653595e-10,-0.00443130550830936,-1.43692224785497e-10
0.141791132129983,0.146417841632326,1.6718273987415e-10,-0.00462670950240326,-1.67122399252762e-10
0.151893771187717,0.155261923884379,7.12483128051389e-11,-0.00336815269670135,-7.12085668208573e-11
0.142005327346541,0.146066095528363,0,-0.00406076818181125,-1.05748743095546e-14
0.141507092371158,0.145617707430916,-1.65221281100969e-10,-0.00411061505972024,1.65183783318312e-10
0.142365684865819,0.146254412098282,1.65431557341833e-10,-0.00388872723261308,-1.65281066610845e-10
0.141621154783819,0.145399785101614,1.35123745526045e-10,-0.00377863031774198,-1.35176009274929e-10
0.138252440607801,0.142343892468131,0,-0.00409145186039583,6.63358257213531e-14
0.151978645466135,0.155874138681355,-7.30562832451653e-11,-0.0038954932154269,7.32627014610188e-11
0.144335186194714,0.149148145526137,-3.66101954307751e-10,-0.00481295933147594,3.66154911946026e-10
0.145579102473093,0.149409903608544,6.09261530115646e-11,-0.00383080113539006,-6.09872985446458e-11
0.147643953338303,0.152414635392315,1.34556171760281e-10,-0.00477068205417511,-1.34392885708934e-10
0.13976899889859,0.144254206783876,-1.95427007909643e-13,-0.00448520788525755,1.67449387689089e-13
0.148011507582035,0.152273814284239,-6.49396370011601e-11,-0.00426230670242894,6.51652065641883e-11
0.133926262359885,0.138440562464219,8.98968677276457e-11,-0.00451430010431927,-8.99116059382976e-11
0.145545396081358,0.149901431558766,0,-0.00435603547753483,1.26509913656037e-13
0.140677714112966,0.145264698774001,1.09765779798821e-10,-0.00458698466117827,-1.09622921851127e-10
0.145808558372631,0.149134318512991,5.90902604624688e-11,-0.00332576014021793,-5.92322024761671e-11
0.142980704595826,0.147012107192388,0,-0.00403140259596602,-5.95828941740706e-13
0.142615784090975,0.14689933637226,1.12527182016819e-10,-0.00428355228123234,-1.12580084143943e-10
