"C1_r_bar","C1_delta_0","C1_delta_P","C1_delta_E","C1_delta_EP"
0.145554754269778,0.150051914179897,5.75635095145799e-11,-0.00449715991011568,-5.75661185386878e-11
0.145150675064294,0.148988547309057,-1.13505288501514e-10,-0.00383787224470242,1.13445391969336e-10
0.142003864150646,0.145647902679795,1.12970688359582e-10,-0.00364403852917841,-1.12942266650151e-10
0.143486641379653,0.147114510197701,-5.90686111134886e-11,-0.00362786881802007,5.90403004263607e-11
0.143283946171114,0.147218322967277,5.74874037262418e-11,-0.00393437679618197,-5.74683911569451e-11
0.14246507182448,0.146489152385764,0,-0.00402408056125364,-3.02813329966511e-14
0.1423487471305,0.146299294176187,0,-0.00395054704549083,-1.95760074817031e-13
0.142798122786041,0.146795343395102,0,-0.00399722060905908,-1.94289029309402e-15
0.141786476835535,0.145611170093092,-1.16446713382956e-10,-0.00382469325756393,1.16453041654196e-10
0.145494126657299,0.149795755068081,0,-0.00430162841074522,-3.67761376907083e-14
0.144507958162975,0.148335310313868,-1.76525433159824e-10,-0.00382735215089036,1.76522768624565e-10
0.14328434618205,0.147260611108609,1.68197178407326e-10,-0.00397626492655023,-1.68206004680371e-10
0.145000577172576,0.148764263934166,0,-0.00376368676161945,2.98927549380323e-14
0.142638197035277,0.14659909718102,1.12102216398569e-10,-0.00396090014575073,-1.12094944437757e-10
0.141369972720062,0.145466408281992,0,-0.0040964355619442,1.38222766565832e-14
0.142416062394728,0.146529770507599,-1.42355682797302e-10,-0.00411370811287984,1.4236486989283e-10
0.142263355942921,0.146074839669659,2.86490414724838e-10,-0.00381148372660775,-2.86620976952534e-10
0.144870975541175,0.149187606100992,3.40551781219389e-10,-0.0043166305598322,-3.40536931986435e-10
0.141222985996442,0.145195748638513,0,-0.00397276264211605,4.50472992241657e-14
0.143905023570468,0.147708877816701,-2.26833413163874e-10,-0.00380385424623705,2.26837104655431e-10
0.143834372200122,0.148096354066732,-1.05948139150769e-10,-0.00426198186669011,1.06027381319151e-10
0.144888858659695,0.148539566391482,-1.71049480135466e-10,-0.00365070773182177,1.71083841538078e-10
0.142443370194597,0.145837953472098,1.49231488277835e-10,-0.00339458327752731,-1.49205175992151e-10
0.145007089586166,0.148816265420193,0,-0.00380917583401941,-6.88338275267597e-15
0.143709596790913,0.14848800637867,0,-0.00477840958772022,-3.75255382323303e-14
0.144783708615851,0.149515039725949,0,-0.00473133111011517,1.68476343986868e-14
0.14177919201209,0.146329501316053,2.81324075146472e-10,-0.00455030930394942,-2.81338036201007e-10
0.143911924979312,0.148108289706813,3.52963075433976e-10,-0.00419636472748008,-3.52983697826659e-10
0.144430877815842,0.149055337739967,1.70729069770559e-10,-0.00462445992415644,-1.70697733725689e-10
0.143204337540933,0.14712219910408,0,-0.00391786156310145,-4.59354776438659e-14
0.145156279134483,0.149251325030373,2.26484525578385e-10,-0.00409504589591406,-2.26459989649541e-10
0.141782897975011,0.146121307182518,1.69508324043832e-10,-0.00433840920753439,-1.69480818268397e-10
0.145559024350141,0.149934397726814,2.22044604925031e-16,-0.00437537337663332,-4.01068067645838e-14
0.143113159595935,0.146982856622138,-4.44089209850063e-16,-0.00386969702609277,-1.09412479076809e-13
0.142707753515148,0.147264089239433,-1.40604666798438e-10,-0.00455633572439587,1.40715328278418e-10
0.14216061813171,0.146118924915413,5.98252558603463e-11,-0.00395830678368969,-5.98390503814272e-11
0.140416603558086,0.144674619162756,-2.52190185401346e-10,-0.00425801560466238,2.5218224730672e-10
0.143547854162151,0.147604633495351,1.31700206296159e-13,-0.00405677933321399,-1.1785017406396e-13
0.143139415445992,0.147559912623713,-3.41742162346392e-10,-0.00442049717771703,3.41738748410592e-10
0.142686699245273,0.147164820656736,2.83948420332081e-11,-0.00447812141149942,-2.83583712068491e-11
0.143607830682388,0.147947708320207,-3.96564364679719e-10,-0.00433987763778421,3.9652922612099e-10
0.145611526891317,0.150093152867675,1.13705267423825e-10,-0.00448162597631943,-1.13743847673931e-10
0.146100328423668,0.150102457318388,-1.17506504526688e-10,-0.00400212889476101,1.17548304423565e-10
0.142218550054778,0.146572568420539,-2.81252132694476e-10,-0.00435401836573052,2.81221518294572e-10
0.142827210859832,0.147370224611238,-2.23436713575609e-10,-0.0045430137522767,2.24307961094183e-10
0.14358924866222,0.147720551676895,-2.36412028842281e-10,-0.00413130301465522,2.36391822783233e-10
0.141458558701489,0.146140530722101,1.94289029309402e-16,-0.00468197202057583,-3.65540930857833e-14
0.142881824980265,0.147111942042625,-2.4980018054066e-16,-0.00423011706236226,2.85882428840978e-15
0.144590303102552,0.148686504855787,0,-0.0040962017532323,-1.9151347174784e-15
0.142517186402396,0.146646854355746,0,-0.00412966795336522,1.58484336765241e-14
0.143151940603049,0.147287039277464,5.00133684466775e-10,-0.00413509867440204,-5.00146368764831e-10
0.144363777836765,0.148317870575194,5.67521862837594e-11,-0.00395409273912273,-5.60589075160323e-11
0.142630120276865,0.146455575535445,-5.15061576722431e-10,-0.00382545525854494,5.15027187564243e-10
0.144208382514887,0.148359235220048,0,-0.00415085270512625,-3.49442697000768e-14
0.145789353960931,0.149749171835971,4.01968347496506e-10,-0.00395981787500746,-4.02001265609186e-10
0.142910038659388,0.147454775214235,-5.74542080578055e-11,-0.0045447365548926,5.75003100689031e-11
0.142321465705054,0.146037218685296,-1.14479037360837e-10,-0.00371575298027041,1.14507542336995e-10
0.143117393403565,0.147421912779703,-1.43188932932858e-10,-0.00430451937618215,1.43232203875243e-10
