"C1_r_bar","C1_delta_0","C1_delta_P","C1_delta_E","C1_delta_EP"
0.148484038564649,0.15124737608269,0,-0.00276333751761321,-4.27324842178223e-13
0.144622048716607,0.147529270528627,-4.14969780759833e-10,-0.00290722181201661,4.14966172535003e-10
0.147303385126174,0.150015602681253,0,-0.00271221755477111,-3.07781578001709e-13
0.145876824104096,0.148703089387041,2.04364303257876e-13,-0.00282626528286595,-2.83190138006262e-13
0.145944434677654,0.148914069522614,0,-0.00296963484492668,-3.37230243729891e-14
0.151155919244403,0.15377787959947,-2.37667413527376e-10,-0.00262196035515672,2.37756675458556e-10
0.146015604925926,0.148838478670352,6.46227793499321e-11,-0.00282287374443335,-6.4615424122394e-11
0.145293705520214,0.148212288681232,-3.12780551459113e-10,-0.00291858316086477,3.126278125265e-10
0.151106785993798,0.154240722858448,2.40526182304635e-10,-0.00313393686470065,-2.40476027979497e-10
0.147224439828776,0.149970946354692,2.07500683302442e-13,-0.00274650652600963,-1.13520304267922e-13
0.144614797152338,0.147543868177441,-1.03233893655741e-10,-0.00292907102512063,1.03251851513164e-10
0.152863726411224,0.155570881176804,0,-0.00270715476535366,-2.25902629935604e-13
0.15011666497844,0.153547682588063,0,-0.00343101760963282,9.6034291630076e-15
0.145317311317552,0.148109942529015,-2.11302669805846e-10,-0.0027926312115574,2.11396705696032e-10
0.147114895288841,0.149942913587912,5.45301026555478e-11,-0.00282801829917897,-5.44218003994956e-11
0.15300139093709,0.155880190228396,-6.19895246245505e-11,-0.00287879929127957,6.19634898946231e-11
0.147510503221465,0.150094184694692,1.12321096867873e-10,-0.00258368147313162,-1.12415715625147e-10
0.1465828979166,0.149664599493574,0,-0.00308170157732315,3.49525963727615e-13
0.154118931275947,0.156928837374154,-3.78319875427024e-10,-0.00280990609807744,3.78190395666778e-10
0.146922327668691,0.149575101471455,0,-0.00265277380284834,8.50153281106714e-14
0.15135264190161,0.154015350674423,-3.57436219511342e-10,-0.00266270877286562,3.57488955105012e-10
0.149392154089499,0.152216868141959,-4.54746379441318e-10,-0.00282471405243895,4.54725035403669e-10
0.142981923996168,0.145896373308704,4.95321839100171e-11,-0.00291444931316961,-4.88988016744685e-11
0.147133627821039,0.149859317183813,5.38423472473681e-11,-0.00272568936274015,-5.38762923163461e-11
0.152157929081566,0.154988272975856,8.58765836220243e-11,-0.00283034389437176,-8.5795370807773e-11
0.152705529302118,0.155298655051472,-2.52750237406119e-10,-0.0025931257493958,2.5279175974724e-10
0.146036358593384,0.14872220130953,1.58651203285842e-10,-0.00268584271604153,-1.58755397716703e-10
0.147509657480038,0.150211497114792,-5.54037371536253e-11,-0.00270183963478654,5.54369605776373e-11
0.151573941138186,0.154327589083355,-4.23390073001073e-10,-0.00275364794510863,4.23330537291378e-10
0.14539212240933,0.148176609885535,2.08557948688792e-10,-0.00278448747619028,-2.08572686899444e-10
0.151539856654671,0.154272286055237,-7.86445353284648e-11,-0.00273242940064539,7.87235554522425e-11
0.149741591322261,0.152348580898943,0,-0.00260698957662159,-5.99797989053741e-14
0.154446465024056,0.157356726106129,6.67249588914842e-11,-0.00291026108215323,-6.66440236329890e-11
0.145734131363507,0.148379246782327,1.60353841316407e-10,-0.00264511541900397,-1.60169238982988e-10
0.149686671624098,0.152718243794243,-1.16951032191892e-10,-0.00303157217020339,1.17008708278021e-10
0.148339323080937,0.150860446467549,-1.67195396416631e-10,-0.00252112338693294,1.67516778226684e-10
0.147217497419201,0.150061945199124,1.42044903617133e-10,-0.00284444777995418,-1.42013956150322e-10
0.151605726261539,0.154408997960409,0,-0.00280327169878966,-7.99360577730113e-14
0.151716982036632,0.154631814676511,-9.60026780294498e-11,-0.00291483264059081,9.6714442010537e-11
0.146585651469843,0.149360440436927,-5.48770473507432e-11,-0.00277478896717503,5.49674472605233e-11
0.150902383577242,0.153844328629271,-1.20729010122389e-10,-0.00294194505201645,1.20716436846635e-10
0.147394895486121,0.150445077241635,1.10171538558745e-10,-0.00305018175554961,-1.10135928155231e-10
0.152811258486819,0.155559641539937,4.95750218654223e-10,-0.00274838305333688,-4.95531282673767e-10
0.149540911956467,0.152083649808483,-8.53128678812709e-12,-0.00254273785226339,8.77889427819412e-12
0.150032768410477,0.152682618284011,1.16392812055111e-10,-0.00264984987377559,-1.16151199769376e-10
0.148678611007143,0.151517231297896,0,-0.00283862029075649,3.77475828372553e-15
0.148029326773251,0.150988805756048,-1.66609337437507e-10,-0.00295947898291207,1.66723496120014e-10
0.146521147671512,0.149413509371491,2.69446243095217e-10,-0.0028923616997906,-2.6963392629753e-10
0.148582743822276,0.151390804537264,-5.5941945520388e-11,-0.00280806071524822,5.62018764860284e-11
0.15161172010912,0.154380222885437,3.64149516096646e-10,-0.00276850277631194,-3.6415487292274e-10
0.147047048621024,0.149994116041359,0,-0.0029470674204265,9.18709552877317e-14
