larval_scenario,simulation_loop,species,coexistence_partition,coexistence_strength
high,1,balanus_glandula,delta_0,1.4896592331832845
high,1,chthamalus_dalli,delta_0,2.912244606755052
high,1,limpets,delta_0,0.031082954735409896
high,1,balanus_glandula,delta_c,0.977663100606712
high,1,chthamalus_dalli,delta_c,4.325540004273755
high,1,limpets,delta_c,-0.0064902169204890114
high,1,balanus_glandula,delta_p,1.273969572375768
high,1,chthamalus_dalli,delta_p,2.356597289105582
high,1,limpets,delta_p,0.011251035658275566
high,1,balanus_glandula,r_bar,1.7101686379120906
high,1,chthamalus_dalli,r_bar,3.9609514474599146
high,1,limpets,r_bar,-0.03332578465068181
high,1,balanus_glandula,delta_cp,-2.0311232682536744
high,1,chthamalus_dalli,delta_cp,-5.6334304526744745
high,1,limpets,delta_cp,-0.06916955812387826
high,2,balanus_glandula,delta_0,1.7143591941482246
high,2,chthamalus_dalli,delta_0,3.648387057894026
high,2,limpets,delta_0,0.04434643171516617
high,2,balanus_glandula,delta_c,0.929428845169185
high,2,chthamalus_dalli,delta_c,2.8603942571097978
high,2,limpets,delta_c,-0.03151746262341448
high,2,balanus_glandula,delta_p,1.3394098094315587
high,2,chthamalus_dalli,delta_p,2.331650315984707
high,2,limpets,delta_p,0.02223291128492788
high,2,balanus_glandula,r_bar,0.7713820842311321
high,2,chthamalus_dalli,r_bar,1.8534692793976904
high,2,limpets,r_bar,-2.2024132412761084
high,2,balanus_glandula,delta_cp,-3.2118157645178362
high,2,chthamalus_dalli,delta_cp,-6.986962351590841
high,2,limpets,delta_cp,-2.237475121652788
high,3,balanus_glandula,delta_0,1.6657613555171111
high,3,chthamalus_dalli,delta_0,3.5336598118801987
high,3,limpets,delta_0,0.04188681549140738
high,3,balanus_glandula,delta_c,1.906721347551293
high,3,chthamalus_dalli,delta_c,2.3962364212868734
high,3,limpets,delta_c,0.050524771423724024
high,3,balanus_glandula,delta_p,1.2547209641087256
high,3,chthamalus_dalli,delta_p,2.3054421062451915
high,3,limpets,delta_p,0.019338140307904594
high,3,balanus_glandula,r_bar,0.8670595849464975
high,3,chthamalus_dalli,r_bar,1.000734757946962
high,3,limpets,r_bar,-0.015577940906915666
high,3,balanus_glandula,delta_cp,-3.9601440822306326
high,3,chthamalus_dalli,delta_cp,-7.2346035814653025
high,3,limpets,delta_cp,-0.12732766812995167
high,4,balanus_glandula,delta_0,1.5098648690966483
high,4,chthamalus_dalli,delta_0,2.834923814281992
high,4,limpets,delta_0,0.03132574845948699
high,4,balanus_glandula,delta_c,1.3163880663772414
high,4,chthamalus_dalli,delta_c,4.301131542671207
high,4,limpets,delta_c,-0.00551742208233863
high,4,balanus_glandula,delta_p,1.5934625973577743
high,4,chthamalus_dalli,delta_p,2.1584366516315545
high,4,limpets,delta_p,0.009258722070843994
high,4,balanus_glandula,r_bar,-31.98832384012807
high,4,chthamalus_dalli,r_bar,8.9454095635565
high,4,limpets,r_bar,-0.2220121943547977
high,4,balanus_glandula,delta_cp,-36.408039372959735
high,4,chthamalus_dalli,delta_cp,-0.3490824450282535
high,4,limpets,delta_cp,-0.25707924280279004
high,5,balanus_glandula,delta_0,1.5089031244712459
high,5,chthamalus_dalli,delta_0,3.083152921288478
high,5,limpets,delta_0,0.03094526736476788
high,5,balanus_glandula,delta_c,0.39463020894888734
high,5,chthamalus_dalli,delta_c,3.232658153500882
high,5,limpets,delta_c,0.004296742338755211
high,5,balanus_glandula,delta_p,1.1844026630060018
high,5,chthamalus_dalli,delta_p,2.607341644356117
high,5,limpets,delta_p,0.01945879272463147
high,5,balanus_glandula,r_bar,3.5455418313207168
high,5,chthamalus_dalli,r_bar,0.4599530893233035
high,5,limpets,r_bar,-0.07856447289879198
high,5,balanus_glandula,delta_cp,0.4576058348945815
high,5,chthamalus_dalli,delta_cp,-8.463199629822174
high,5,limpets,delta_cp,-0.13326527532694654
high,6,balanus_glandula,delta_0,1.763330302052377
high,6,chthamalus_dalli,delta_0,3.4172389713512294
high,6,limpets,delta_0,0.04444855697199834
high,6,balanus_glandula,delta_c,0.8573964010664104
high,6,chthamalus_dalli,delta_c,5.853994806244714
high,6,limpets,delta_c,0.01970945366480259
high,6,balanus_glandula,delta_p,1.3155006363493127
high,6,chthamalus_dalli,delta_p,2.218566344679097
high,6,limpets,delta_p,0.027474694731509652
high,6,balanus_glandula,r_bar,2.0915370031547322
high,6,chthamalus_dalli,r_bar,3.0545015568333023
high,6,limpets,r_bar,-0.0369570737849525
high,6,balanus_glandula,delta_cp,-1.8446903363133682
high,6,chthamalus_dalli,delta_cp,-8.435298565441737
high,6,limpets,delta_cp,-0.12858977915326308
high,7,balanus_glandula,delta_0,1.5854668541111292
high,7,chthamalus_dalli,delta_0,3.0275133491702118
high,7,limpets,delta_0,0.033572446241892595
high,7,balanus_glandula,delta_c,2.2229440643308354
high,7,chthamalus_dalli,delta_c,5.189343005938985
high,7,limpets,delta_c,-0.012325760582001966
high,7,balanus_glandula,delta_p,1.3141647071745288
high,7,chthamalus_dalli,delta_p,2.403783279875
high,7,limpets,delta_p,0.01994877266159034
high,7,balanus_glandula,r_bar,0.9035880562857315
high,7,chthamalus_dalli,r_bar,0.9578646042879781
high,7,limpets,r_bar,-0.031923087977357545
high,7,balanus_glandula,delta_cp,-4.2189875693307615
high,7,chthamalus_dalli,delta_cp,-9.662775030696219
high,7,limpets,delta_cp,-0.07311854629883852
high,8,balanus_glandula,delta_0,1.6613087505556525
high,8,chthamalus_dalli,delta_0,3.2115819263814145
high,8,limpets,delta_0,0.038109809099564185
high,8,balanus_glandula,delta_c,1.2661512821179817
high,8,chthamalus_dalli,delta_c,4.6804432166465295
high,8,limpets,delta_c,0.17042608213903887
high,8,balanus_glandula,delta_p,1.3006040057404364
high,8,chthamalus_dalli,delta_p,2.2896122254033155
high,8,limpets,delta_p,0.020254412026269986
high,8,balanus_glandula,r_bar,1.2262717292627818
high,8,chthamalus_dalli,r_bar,0.9843685957728296
high,8,limpets,r_bar,-0.019930773396724666
high,8,balanus_glandula,delta_cp,-3.001792309151289
high,8,chthamalus_dalli,delta_cp,-9.197268772658429
high,8,limpets,delta_cp,-0.2487210766615977
high,9,balanus_glandula,delta_0,1.471336932413177
high,9,chthamalus_dalli,delta_0,2.9310368828746665
high,9,limpets,delta_0,0.03068762572445405
high,9,balanus_glandula,delta_c,1.441569454014635
high,9,chthamalus_dalli,delta_c,4.118963671828129
high,9,limpets,delta_c,0.0017094799840586816
high,9,balanus_glandula,delta_p,1.1730718537432916
high,9,chthamalus_dalli,delta_p,2.832163317745633
high,9,limpets,delta_p,0.004168930093349621
high,9,balanus_glandula,r_bar,1.031402198054914
high,9,chthamalus_dalli,r_bar,1.6512849325736665
high,9,limpets,r_bar,-0.14312049763175527
high,9,balanus_glandula,delta_cp,-3.0545760421161896
high,9,chthamalus_dalli,delta_cp,-8.230878939874762
high,9,limpets,delta_cp,-0.17968653343361762
high,10,balanus_glandula,delta_0,1.3730740262801704
high,10,chthamalus_dalli,delta_0,2.7754198114058406
high,10,limpets,delta_0,0.025362783641248665
high,10,balanus_glandula,delta_c,2.308941978893799
high,10,chthamalus_dalli,delta_c,3.9004911619633655
high,10,limpets,delta_c,-0.013698610720827897
high,10,balanus_glandula,delta_p,1.2721455580564238
high,10,chthamalus_dalli,delta_p,3.6784938102093028
high,10,limpets,delta_p,0.020236535320656834
high,10,balanus_glandula,r_bar,0.4256295956388505
high,10,chthamalus_dalli,r_bar,1.9827345846630804
high,10,limpets,r_bar,-0.002182445482494799
high,10,balanus_glandula,delta_cp,-4.528531967591542
high,10,chthamalus_dalli,delta_cp,-8.371670198915428
high,10,limpets,delta_cp,-0.0340831537235724
high,11,balanus_glandula,delta_0,1.4092966509102616
high,11,chthamalus_dalli,delta_0,2.5832523664268052
high,11,limpets,delta_0,0.024785441923193208
high,11,balanus_glandula,delta_c,1.7787312150043304
high,11,chthamalus_dalli,delta_c,0.5614908251245136
high,11,limpets,delta_c,0.009734151046602246
high,11,balanus_glandula,delta_p,1.3459653451627116
high,11,chthamalus_dalli,delta_p,2.341003199736689
high,11,limpets,delta_p,-0.13592002513618362
high,11,balanus_glandula,r_bar,0.22347815179894592
high,11,chthamalus_dalli,r_bar,2.602995984645645
high,11,limpets,r_bar,-0.009832393212768631
high,11,balanus_glandula,delta_cp,-4.310515059278358
high,11,chthamalus_dalli,delta_cp,-2.882750406642363
high,11,limpets,delta_cp,0.09156803895361953
high,12,balanus_glandula,delta_0,1.5570790284727307
high,12,chthamalus_dalli,delta_0,3.157024586196807
high,12,limpets,delta_0,0.0338013646827261
high,12,balanus_glandula,delta_c,1.2517004680379702
high,12,chthamalus_dalli,delta_c,2.4302739007151066
high,12,limpets,delta_c,-0.013677398456059198
high,12,balanus_glandula,delta_p,1.2139551790176726
high,12,chthamalus_dalli,delta_p,2.4767315281075746
high,12,limpets,delta_p,0.030854724483403984
high,12,balanus_glandula,r_bar,1.013981031874573
high,12,chthamalus_dalli,r_bar,3.2182270727971853
high,12,limpets,r_bar,-0.03506786009085383
high,12,balanus_glandula,delta_cp,-3.0087536436538005
high,12,chthamalus_dalli,delta_cp,-4.845802942222303
high,12,limpets,delta_cp,-0.08604655080092471
high,13,balanus_glandula,delta_0,1.6229047240708372
high,13,chthamalus_dalli,delta_0,3.3232469873378965
high,13,limpets,delta_0,0.03779913587732775
high,13,balanus_glandula,delta_c,1.0117245753126278
high,13,chthamalus_dalli,delta_c,2.7678040783594047
high,13,limpets,delta_c,-0.02293731673393884
high,13,balanus_glandula,delta_p,1.2306641415105952
high,13,chthamalus_dalli,delta_p,2.3500735404850044
high,13,limpets,delta_p,0.019196607136757193
high,13,balanus_glandula,r_bar,2.863043776742135
high,13,chthamalus_dalli,r_bar,8.303616133451266
high,13,limpets,r_bar,0.007019565044403819
high,13,balanus_glandula,delta_cp,-1.0022496641519254
high,13,chthamalus_dalli,delta_cp,-0.1375084727310405
high,13,limpets,delta_cp,-0.027038861235742284
high,14,balanus_glandula,delta_0,1.4870662753902317
high,14,chthamalus_dalli,delta_0,3.40239627249559
high,14,limpets,delta_0,0.03496539631162299
high,14,balanus_glandula,delta_c,0.7248560526639118
high,14,chthamalus_dalli,delta_c,3.2842449722215408
high,14,limpets,delta_c,-0.020762602591878343
high,14,balanus_glandula,delta_p,1.040392597840428
high,14,chthamalus_dalli,delta_p,2.569045112388709
high,14,limpets,delta_p,0.05044577777137693
high,14,balanus_glandula,r_bar,0.4227072281842932
high,14,chthamalus_dalli,r_bar,0.9137024359540351
high,14,limpets,r_bar,-0.03897081512916101
high,14,balanus_glandula,delta_cp,-2.829607697710278
high,14,chthamalus_dalli,delta_cp,-8.341983921151806
high,14,limpets,delta_cp,-0.10361938662028258
high,15,balanus_glandula,delta_0,1.551591502195509
high,15,chthamalus_dalli,delta_0,3.142143829884196
high,15,limpets,delta_0,0.0345290855992233
high,15,balanus_glandula,delta_c,0.9107824414793424
high,15,chthamalus_dalli,delta_c,8.814284609474225
high,15,limpets,delta_c,-0.004594134672050165
high,15,balanus_glandula,delta_p,1.1052170717031207
high,15,chthamalus_dalli,delta_p,2.336167884633028
high,15,limpets,delta_p,0.04403926192235641
high,15,balanus_glandula,r_bar,1.566794074431437
high,15,chthamalus_dalli,r_bar,1.825251704264404
high,15,limpets,r_bar,-0.05077890535413454
high,15,balanus_glandula,delta_cp,-2.000796940946535
high,15,chthamalus_dalli,delta_cp,-12.467344619727044
high,15,limpets,delta_cp,-0.12475311820366408
high,16,balanus_glandula,delta_0,1.5608280579239353
high,16,chthamalus_dalli,delta_0,3.4725268870142387
