larval_scenario,simulation_loop,species,coexistence_partition,coexistence_strength
high,8,balanus_glandula,delta_c,1.9411567032668486
high,8,chthamalus_dalli,delta_c,0.4100499752827116
high,8,limpets,delta_c,-0.01313572779379335
high,8,balanus_glandula,delta_p,1.221433326833312
high,8,chthamalus_dalli,delta_p,2.2613972874639465
high,8,limpets,delta_p,-0.38136374684198726
high,8,balanus_glandula,r_bar,3.2431001606070575
high,8,chthamalus_dalli,r_bar,3.1433947518997685
high,8,limpets,r_bar,0.004585899852857622
high,8,balanus_glandula,delta_cp,-1.3507632127474372
high,8,chthamalus_dalli,delta_cp,-2.2888633224178236
high,8,limpets,delta_cp,0.37131269281111146
high,9,balanus_glandula,delta_0,1.4246344657397452
high,9,chthamalus_dalli,delta_0,2.731571642370495
high,9,limpets,delta_0,0.026564059694460074
high,9,balanus_glandula,delta_c,1.0338020796768332
high,9,chthamalus_dalli,delta_c,1.7709450957492485
high,9,limpets,delta_c,-0.008764916471436734
high,9,balanus_glandula,delta_p,1.2404288576228082
high,9,chthamalus_dalli,delta_p,2.2794496176349304
high,9,limpets,delta_p,0.048423237974762445
high,9,balanus_glandula,r_bar,2.492312415872206
high,9,chthamalus_dalli,r_bar,4.427043445744404
high,9,limpets,r_bar,-0.08669332780588568
high,9,balanus_glandula,delta_cp,-1.2065529871671803
high,9,chthamalus_dalli,delta_cp,-2.35492291001027
high,9,limpets,delta_cp,-0.15291570900367146
high,10,balanus_glandula,delta_0,1.5334793568055356
high,10,chthamalus_dalli,delta_0,2.6658384242886175
high,10,limpets,delta_0,0.02896624297585193
high,10,balanus_glandula,delta_c,1.1208726078966058
high,10,chthamalus_dalli,delta_c,0.896054281007485
high,10,limpets,delta_c,-7.86952290077858e-4
high,10,balanus_glandula,delta_p,1.4310398459934752
high,10,chthamalus_dalli,delta_p,1.811956267772281
high,10,limpets,delta_p,0.02199936101859601
high,10,balanus_glandula,r_bar,0.38691476703550287
high,10,chthamalus_dalli,r_bar,1.3634142267279703
high,10,limpets,r_bar,-0.013503885978728647
high,10,balanus_glandula,delta_cp,-3.698477043660114
high,10,chthamalus_dalli,delta_cp,-4.0104347463404135
high,10,limpets,delta_cp,-0.06368253768309873
high,11,balanus_glandula,delta_0,1.5913905765243583
high,11,chthamalus_dalli,delta_0,3.16023025202387
high,11,limpets,delta_0,0.036121210399355674
high,11,balanus_glandula,delta_c,1.2529886389098595
high,11,chthamalus_dalli,delta_c,2.6607271890767743
high,11,limpets,delta_c,-0.02166335804111652
high,11,balanus_glandula,delta_p,1.2435401791149112
high,11,chthamalus_dalli,delta_p,2.477352823418782
high,11,limpets,delta_p,-0.047814491698675354
high,11,balanus_glandula,r_bar,2.5627858116260196
high,11,chthamalus_dalli,r_bar,1.679990565016182
high,11,limpets,r_bar,-0.015239393719870042
high,11,balanus_glandula,delta_cp,-1.5251335829231092
high,11,chthamalus_dalli,delta_cp,-6.618319699503244
high,11,limpets,delta_cp,0.018117245620566158
high,12,balanus_glandula,delta_0,1.5060155146208372
high,12,chthamalus_dalli,delta_0,2.9049235942228275
high,12,limpets,delta_0,0.029542996667428323
high,12,balanus_glandula,delta_c,2.2019046124966293
high,12,chthamalus_dalli,delta_c,2.0391773625211873
high,12,limpets,delta_c,0.022375316907119913
high,12,balanus_glandula,delta_p,1.2382783283155732
high,12,chthamalus_dalli,delta_p,2.3350618362239994
high,12,limpets,delta_p,0.030860306030685125
high,12,balanus_glandula,r_bar,1.271041296049199
high,12,chthamalus_dalli,r_bar,2.569779322183878
high,12,limpets,r_bar,-0.0587836980698766
high,12,balanus_glandula,delta_cp,-3.675157159383841
high,12,chthamalus_dalli,delta_cp,-4.709383470784136
high,12,limpets,delta_cp,-0.14156231767510996
high,13,balanus_glandula,delta_0,1.5822228111907477
high,13,chthamalus_dalli,delta_0,3.165955914565608
high,13,limpets,delta_0,0.03542545581656453
high,13,balanus_glandula,delta_c,1.1346009428055384
high,13,chthamalus_dalli,delta_c,5.3743203865306945
high,13,limpets,delta_c,0.0276919302367713
