larval_scenario,simulation_loop,species,coexistence_partition,coexistence_strength
high,1,balanus_glandula,delta_0,1.496844006484447
high,1,chthamalus_dalli,delta_0,3.1001571371433796
high,1,limpets,delta_0,0.032455720225066265
high,1,balanus_glandula,delta_c,1.9536026170443175
high,1,chthamalus_dalli,delta_c,1.1715660702439623
high,1,limpets,delta_c,0.08999933122608206
high,1,balanus_glandula,delta_p,1.3999884925162296
high,1,chthamalus_dalli,delta_p,2.409590381089659
high,1,limpets,delta_p,0.017041665077301316
high,1,balanus_glandula,r_bar,1.2957611403408456
high,1,chthamalus_dalli,r_bar,1.560087278496603
high,1,limpets,r_bar,0.07502271362974389
high,1,balanus_glandula,delta_cp,-3.554673975704149
high,1,chthamalus_dalli,delta_cp,-5.121226309980398
high,1,limpets,delta_cp,-0.06447400289870575
high,2,balanus_glandula,delta_0,1.6912909718330973
high,2,chthamalus_dalli,delta_0,3.677408993406177
high,2,limpets,delta_0,0.044555372938650306
high,2,balanus_glandula,delta_c,1.463578084544903
high,2,chthamalus_dalli,delta_c,1.7388360967330725
high,2,limpets,delta_c,-0.03278748171929724
high,2,balanus_glandula,delta_p,1.2690238347086957
high,2,chthamalus_dalli,delta_p,2.5085692495119716
high,2,limpets,delta_p,0.031218394974313668
high,2,balanus_glandula,r_bar,1.1153175239136057
high,2,chthamalus_dalli,r_bar,3.717200183453074
high,2,limpets,r_bar,-0.11596162056671733
high,2,balanus_glandula,delta_cp,-3.3085753671730904
high,2,chthamalus_dalli,delta_cp,-4.207614156198147
high,2,limpets,delta_cp,-0.15894790676038406
high,3,balanus_glandula,delta_0,1.6243318062475218
high,3,chthamalus_dalli,delta_0,2.839629598338063
high,3,limpets,delta_0,0.03239731533172652
high,3,balanus_glandula,delta_c,0.6016709155025204
high,3,chthamalus_dalli,delta_c,1.2101829434575915
high,3,limpets,delta_c,-0.005936664560977745
high,3,balanus_glandula,delta_p,1.466162604001879
high,3,chthamalus_dalli,delta_p,2.665688111941727
high,3,limpets,delta_p,0.0278360327231002
high,3,balanus_glandula,r_bar,1.4186626792908386
high,3,chthamalus_dalli,r_bar,5.593588860698481
high,3,limpets,r_bar,-0.014206048695180051
high,3,balanus_glandula,delta_cp,-2.2735026464610826
high,3,chthamalus_dalli,delta_cp,-1.1219117930389002
high,3,limpets,delta_cp,-0.06850273218902903
high,4,balanus_glandula,delta_0,1.526484103286724
high,4,chthamalus_dalli,delta_0,3.2736817549327633
high,4,limpets,delta_0,0.033313917247369984
high,4,balanus_glandula,delta_c,1.1770874677552647
high,4,chthamalus_dalli,delta_c,2.053896122145301
high,4,limpets,delta_c,0.023357425301816948
high,4,balanus_glandula,delta_p,1.6948239907657883
high,4,chthamalus_dalli,delta_p,2.305705435698397
high,4,limpets,delta_p,0.019359447342081615
high,4,balanus_glandula,r_bar,0.6749540255564623
high,4,chthamalus_dalli,r_bar,2.664841276190752
high,4,limpets,r_bar,-1.293129218924208
high,4,balanus_glandula,delta_cp,-3.7234415362513147
high,4,chthamalus_dalli,delta_cp,-4.968442036585709
high,4,limpets,delta_cp,-1.3691600088154767
high,5,balanus_glandula,delta_0,1.7854799796002299
high,5,chthamalus_dalli,delta_0,3.77845013207926
high,5,limpets,delta_0,0.047605616998577904
high,5,balanus_glandula,delta_c,3.7684785809079253
high,5,chthamalus_dalli,delta_c,2.489894348411106
high,5,limpets,delta_c,-0.03876625273022993
high,5,balanus_glandula,delta_p,1.229691398633725
high,5,chthamalus_dalli,delta_p,2.406992616026596
high,5,limpets,delta_p,0.023585434316252263
high,5,balanus_glandula,r_bar,0.8205915522153875
high,5,chthamalus_dalli,r_bar,1.2800423587812042
high,5,limpets,r_bar,0.06105019420888236
high,5,balanus_glandula,delta_cp,-5.963058406926493
high,5,chthamalus_dalli,delta_cp,-7.3952947377357585
high,5,limpets,delta_cp,0.028625395624282124
high,6,balanus_glandula,delta_0,1.5689400115113639
high,6,chthamalus_dalli,delta_0,3.052005649677858
high,6,limpets,delta_0,0.032309671730768486
high,6,balanus_glandula,delta_c,0.7780855575876295
high,6,chthamalus_dalli,delta_c,2.002579824803763
high,6,limpets,delta_c,-0.018219181115218364
high,6,balanus_glandula,delta_p,1.2585036115979498
high,6,chthamalus_dalli,delta_p,2.3980608248855746
high,6,limpets,delta_p,0.021146179307155122
high,6,balanus_glandula,r_bar,3.6425865007023734
high,6,chthamalus_dalli,r_bar,5.336558818028669
high,6,limpets,r_bar,-0.008660766013531607
high,6,balanus_glandula,delta_cp,0.037057320005430494
high,6,chthamalus_dalli,delta_cp,-2.1160874813385266
high,6,limpets,delta_cp,-0.04389743593623685
high,7,balanus_glandula,delta_0,1.3714350193902265
high,7,chthamalus_dalli,delta_0,2.7476663108093753
high,7,limpets,delta_0,0.025849266240887125
high,7,balanus_glandula,delta_c,0.7525422693261505
high,7,chthamalus_dalli,delta_c,2.436529856317998
high,7,limpets,delta_c,-0.002060547060574791
high,7,balanus_glandula,delta_p,1.3110119934324076
high,7,chthamalus_dalli,delta_p,2.470175734803873
high,7,limpets,delta_p,0.03450918716378959
high,7,balanus_glandula,r_bar,0.5513492442273613
high,7,chthamalus_dalli,r_bar,1.703000292617668
high,7,limpets,r_bar,-0.04778858434436617
high,7,balanus_glandula,delta_cp,-2.883640037921423
high,7,chthamalus_dalli,delta_cp,-5.951371609313578
high,7,limpets,delta_cp,-0.1060864906884681
high,8,balanus_glandula,delta_0,1.5980805147883785
high,8,chthamalus_dalli,delta_0,2.976241006556368
high,8,limpets,delta_0,0.03223450047720555
high,8,balanus_glandula,delta_c,2.806255648441849
high,8,chthamalus_dalli,delta_c,3.2730849120217282
high,8,limpets,delta_c,0.06282699950489867
high,8,balanus_glandula,delta_p,1.3432741940740998
high,8,chthamalus_dalli,delta_p,3.44974060368895
high,8,limpets,delta_p,0.019123524753980048
high,8,balanus_glandula,r_bar,0.7364440026572463
high,8,chthamalus_dalli,r_bar,1.7624394227021785
high,8,limpets,r_bar,-0.09649597472457927
high,8,balanus_glandula,delta_cp,-5.011166354647081
high,8,chthamalus_dalli,delta_cp,-7.936627099564867
high,8,limpets,delta_cp,-0.21068099946066354
high,9,balanus_glandula,delta_0,1.5579952383782625
high,9,chthamalus_dalli,delta_0,3.163634232398843
high,9,limpets,delta_0,0.03581259630542155
high,9,balanus_glandula,delta_c,1.1291416811180857
high,9,chthamalus_dalli,delta_c,6.124229999538716
high,9,limpets,delta_c,-0.007737939849399966
high,9,balanus_glandula,delta_p,1.265588468626428
high,9,chthamalus_dalli,delta_p,2.9141938936060834
high,9,limpets,delta_p,0.05447620490508964
high,9,balanus_glandula,r_bar,0.7828996508069241
high,9,chthamalus_dalli,r_bar,2.153570307359976
high,9,limpets,r_bar,-8.002523981774345
high,9,balanus_glandula,delta_cp,-3.1698257373158523
high,9,chthamalus_dalli,delta_cp,-10.048487818183668
high,9,limpets,delta_cp,-8.085074843135457
high,10,balanus_glandula,delta_0,1.4093611923437637
high,10,chthamalus_dalli,delta_0,2.832768571548111
high,10,limpets,delta_0,0.027223747040792112
