larval_scenario,simulation_loop,species,coexistence_partition,coexistence_strength
balanus_high,1,balanus_glandula,delta_cp,-0.9152267919795072
balanus_high,1,chthamalus_dalli,delta_cp,-0.022688813118071693
balanus_high,1,limpets,delta_cp,0.017306010449888776
balanus_high,2,balanus_glandula,delta_0,0.015632071396477265
balanus_high,2,chthamalus_dalli,delta_0,-1.1788046807859054e-4
balanus_high,2,limpets,delta_0,-0.004701186672693369
balanus_high,2,balanus_glandula,delta_c,0.34713415394314295
balanus_high,2,chthamalus_dalli,delta_c,0.07045104161008364
balanus_high,2,limpets,delta_c,-0.017087633424123894
balanus_high,2,balanus_glandula,delta_p,0.016598242275185582
balanus_high,2,chthamalus_dalli,delta_p,-1.181288073320852e-4
balanus_high,2,limpets,delta_p,-0.00474964964459168
balanus_high,2,balanus_glandula,r_bar,0.0352369462902149
balanus_high,2,chthamalus_dalli,r_bar,0.009275268065338738
balanus_high,2,limpets,r_bar,-0.020213273160806233
balanus_high,2,balanus_glandula,delta_cp,-0.3441275213245909
balanus_high,2,chthamalus_dalli,delta_cp,-0.06093976426933423
balanus_high,2,limpets,delta_cp,0.00632519658060271
balanus_high,3,balanus_glandula,delta_0,0.015637098920969095
balanus_high,3,chthamalus_dalli,delta_0,-1.1861724611972324e-4
balanus_high,3,limpets,delta_0,-0.004538344769622227
balanus_high,3,balanus_glandula,delta_c,0.14347941458520297
balanus_high,3,chthamalus_dalli,delta_c,0.05779401844733201
balanus_high,3,limpets,delta_c,-0.02028246646654064
balanus_high,3,balanus_glandula,delta_p,0.015361888048856187
balanus_high,3,chthamalus_dalli,delta_p,-1.1949389535625965e-4
balanus_high,3,limpets,delta_p,-0.004617774148879983
balanus_high,3,balanus_glandula,r_bar,0.02638510630901436
balanus_high,3,chthamalus_dalli,r_bar,0.12583216260125574
balanus_high,3,limpets,r_bar,-0.011024139895868812
balanus_high,3,balanus_glandula,delta_cp,-0.1480932952460139
balanus_high,3,chthamalus_dalli,delta_cp,0.06827625529539971
balanus_high,3,limpets,delta_cp,0.018414445489174036
chthamalus_high,1,balanus_glandula,delta_0,0.015812805801232455
chthamalus_high,1,chthamalus_dalli,delta_0,-1.1804711762986031e-4
chthamalus_high,1,limpets,delta_0,-0.004547433586218341
chthamalus_high,1,balanus_glandula,delta_c,0.02768366367914088
chthamalus_high,1,chthamalus_dalli,delta_c,2.7619494555210466
chthamalus_high,1,limpets,delta_c,-0.01795922029681063
chthamalus_high,1,balanus_glandula,delta_p,0.014784643269199593
chthamalus_high,1,chthamalus_dalli,delta_p,-1.186518915776702e-4
chthamalus_high,1,limpets,delta_p,-0.004582619904001217
chthamalus_high,1,balanus_glandula,r_bar,0.03585679561327115
chthamalus_high,1,chthamalus_dalli,r_bar,-0.0031237302179756288
chthamalus_high,1,limpets,r_bar,-0.015722866428935944
chthamalus_high,1,balanus_glandula,delta_cp,-0.022424317136301775
chthamalus_high,1,chthamalus_dalli,delta_cp,-2.7648364867298145
chthamalus_high,1,limpets,delta_cp,0.011366407358094244
chthamalus_high,2,balanus_glandula,delta_0,0.015414331084754096
chthamalus_high,2,chthamalus_dalli,delta_0,-1.1850727962647856e-4
chthamalus_high,2,limpets,delta_0,-0.004661994490795962
chthamalus_high,2,balanus_glandula,delta_c,0.020929182390667433
chthamalus_high,2,chthamalus_dalli,delta_c,4.003610779483805
chthamalus_high,2,limpets,delta_c,-0.01708162432869864
chthamalus_high,2,balanus_glandula,delta_p,0.01537336553386992
chthamalus_high,2,chthamalus_dalli,delta_p,-1.1831558399943987e-4
chthamalus_high,2,limpets,delta_p,-0.00472437447796914
chthamalus_high,2,balanus_glandula,r_bar,0.027734785336985812
chthamalus_high,2,chthamalus_dalli,r_bar,0.02880266920456953
chthamalus_high,2,limpets,r_bar,-0.03318458127970825
chthamalus_high,2,balanus_glandula,delta_cp,-0.023982093672305638
chthamalus_high,2,chthamalus_dalli,delta_cp,-3.9745712874156087
chthamalus_high,2,limpets,delta_cp,-0.006716587982244504
chthamalus_high,3,balanus_glandula,delta_0,0.015342609738018043
chthamalus_high,3,chthamalus_dalli,delta_0,-1.1791685703077537e-4
chthamalus_high,3,limpets,delta_0,-0.004583582131289732
